"id_camda"|"orden"|"tipo"|"inicio_ejecucion"|"duracion"|"tamano"
"71446"|"2"|"Automatica"|"2026-07-11 12:58:49.096582-03:00"|""|"1515805"
"71445"|"2"|"Automatica"|"2026-07-11 12:55:34.967770-03:00"|"0:03:14.128812"|"1010774"
"71444"|"2"|"Automatica"|"2026-07-11 12:52:20.152425-03:00"|"0:03:14.815345"|"1022473"
"71443"|"2"|"Automatica"|"2026-07-11 12:48:54.331255-03:00"|"0:03:25.821170"|"1515805"
"71442"|"2"|"Automatica"|"2026-07-11 12:45:30.758561-03:00"|"0:03:23.572694"|"1515805"
"71441"|"2"|"Automatica"|"2026-07-11 12:42:11.618501-03:00"|"0:03:19.140060"|"1515805"
"71440"|"2"|"Automatica"|"2026-07-11 12:38:41.275418-03:00"|"0:03:30.343083"|"1021245"
"71439"|"2"|"Automatica"|"2026-07-11 12:35:22.317394-03:00"|"0:03:18.958024"|"1515805"
"71438"|"2"|"Automatica"|"2026-07-11 12:32:07.419048-03:00"|"0:03:14.898346"|"1019449"
"71437"|"2"|"Automatica"|"2026-07-11 12:28:38.593673-03:00"|"0:03:28.825375"|"1019449"
"71436"|"2"|"Automatica"|"2026-07-11 12:25:10.602245-03:00"|"0:03:27.991428"|"1515805"
"71435"|"2"|"Automatica"|"2026-07-11 12:21:38.617793-03:00"|"0:03:31.984452"|"1019449"
"71434"|"2"|"Automatica"|"2026-07-11 12:17:19.360891-03:00"|"0:04:19.256902"|"1515805"
"71433"|"2"|"Automatica"|"2026-07-11 12:13:29.734605-03:00"|"0:03:49.626286"|"1515805"
"71432"|"2"|"Automatica"|"2026-07-11 12:09:39.970179-03:00"|"0:03:49.764426"|"1019449"
"71431"|"2"|"Automatica"|"2026-07-11 12:05:07.382692-03:00"|"0:04:32.587487"|"1515805"
"71430"|"2"|"Automatica"|"2026-07-11 12:01:15.634287-03:00"|"0:03:51.748405"|"1019449"
"71429"|"2"|"Automatica"|"2026-07-11 11:56:51.170858-03:00"|"0:04:24.463429"|"1509847"
"71428"|"2"|"Automatica"|"2026-07-11 11:53:03.498920-03:00"|"0:03:47.671938"|"1515805"
"71427"|"2"|"Automatica"|"2026-07-11 11:49:18.364499-03:00"|"0:03:45.134421"|"1019449"
"71426"|"2"|"Automatica"|"2026-07-11 11:45:43.723172-03:00"|"0:03:34.641327"|"1515805"
"71425"|"2"|"Automatica"|"2026-07-11 11:42:21.546809-03:00"|"0:03:22.176363"|"1515805"
"71424"|"2"|"Automatica"|"2026-07-11 11:38:53.719308-03:00"|"0:03:27.827501"|"1019449"
"71423"|"2"|"Automatica"|"2026-07-11 11:35:31.721859-03:00"|"0:03:21.997449"|"1515805"
"71422"|"2"|"Automatica"|"2026-07-11 11:31:47.708572-03:00"|"0:03:44.013287"|"1515805"
"71421"|"2"|"Automatica"|"2026-07-11 11:28:12.941192-03:00"|"0:03:34.767380"|"1019449"
"71420"|"2"|"Automatica"|"2026-07-11 11:24:51.037369-03:00"|"0:03:21.903823"|"1515805"
"71419"|"2"|"Automatica"|"2026-07-11 11:21:18.099363-03:00"|"0:03:32.938006"|"2942941"
"71418"|"2"|"Automatica"|"2026-07-11 11:17:48.628442-03:00"|"0:03:29.470921"|"1019449"
"71417"|"2"|"Automatica"|"2026-07-11 11:14:29.935980-03:00"|"0:03:18.692462"|"1515805"
"71416"|"2"|"Automatica"|"2026-07-11 11:10:34.327723-03:00"|"0:03:55.608257"|"1019354"
"71415"|"2"|"Automatica"|"2026-07-11 11:06:17.544899-03:00"|"0:04:16.782824"|"1019354"
"71414"|"2"|"Automatica"|"2026-07-11 11:02:18.555816-03:00"|"0:03:58.989083"|"1010679"
"71413"|"2"|"Automatica"|"2026-07-11 10:57:55.075312-03:00"|"0:04:23.480504"|"1019166"
"71412"|"2"|"Automatica"|"2026-07-11 10:54:13.451444-03:00"|"0:03:41.623868"|"1515805"
"71411"|"2"|"Automatica"|"2026-07-11 10:50:23.702888-03:00"|"0:03:49.748556"|"1017850"
"71410"|"2"|"Automatica"|"2026-07-11 10:45:22.084071-03:00"|"0:05:01.618817"|"1017850"
"71409"|"2"|"Automatica"|"2026-07-11 10:41:25.100174-03:00"|"0:03:56.983897"|"1515805"
"71408"|"2"|"Automatica"|"2026-07-11 10:37:27.321260-03:00"|"0:03:57.778914"|"1017098"
"71407"|"2"|"Automatica"|"2026-07-11 10:33:56.715637-03:00"|"0:03:30.605623"|"1515805"
"71406"|"2"|"Automatica"|"2026-07-11 10:30:23.347108-03:00"|"0:03:33.368529"|"1515805"
"71405"|"2"|"Automatica"|"2026-07-11 10:26:36.111627-03:00"|"0:03:47.235481"|"1481172"
"71404"|"2"|"Automatica"|"2026-07-11 10:22:57.854354-03:00"|"0:03:38.257273"|"1515805"
"71403"|"2"|"Automatica"|"2026-07-11 10:19:21.373489-03:00"|"0:03:36.480865"|"1515805"
"71402"|"2"|"Automatica"|"2026-07-11 10:15:55.019256-03:00"|"0:03:26.354233"|"1017004"
"71401"|"2"|"Automatica"|"2026-07-11 10:12:14.759836-03:00"|"0:03:40.259420"|"1515805"
"71400"|"2"|"Automatica"|"2026-07-11 10:08:52.712363-03:00"|"0:03:22.047473"|"1515805"
"71399"|"2"|"Automatica"|"2026-07-11 10:05:23.828508-03:00"|"0:03:28.883855"|"1017004"
"71398"|"2"|"Automatica"|"2026-07-11 10:01:52.687122-03:00"|"0:03:31.141386"|"1515805"
"71397"|"2"|"Automatica"|"2026-07-11 09:58:18.835716-03:00"|"0:03:33.851406"|"1017004"
"71396"|"2"|"Automatica"|"2026-07-11 09:49:48.119018-03:00"|"0:08:30.716698"|"1010962"
"71395"|"2"|"Automatica"|"2026-07-11 09:46:20.003840-03:00"|"0:03:28.115178"|"1481597"
"71394"|"2"|"Automatica"|"2026-07-11 09:42:40.373584-03:00"|"0:03:39.630256"|"1010679"
"71393"|"2"|"Automatica"|"2026-07-11 09:39:14.834348-03:00"|"0:03:25.539236"|"1515805"
"71392"|"2"|"Automatica"|"2026-07-11 09:35:57.605740-03:00"|"0:03:17.228608"|"1016628"
"71391"|"2"|"Automatica"|"2026-07-11 09:32:31.443159-03:00"|"0:03:26.162581"|"1017006"
"71390"|"2"|"Automatica"|"2026-07-11 09:29:07.262515-03:00"|"0:03:24.180644"|"1515805"
"71389"|"2"|"Automatica"|"2026-07-11 09:25:44.557112-03:00"|"0:03:22.705403"|"1016440"
"71388"|"2"|"Automatica"|"2026-07-11 09:22:21.652017-03:00"|"0:03:22.905095"|"1016440"
"71387"|"2"|"Automatica"|"2026-07-11 09:19:03.103436-03:00"|"0:03:18.548581"|"1515805"
"71386"|"2"|"Automatica"|"2026-07-11 09:15:46.203412-03:00"|"0:03:16.900024"|"1015968"
"71385"|"2"|"Automatica"|"2026-07-11 09:12:27.772025-03:00"|"0:03:18.431387"|"1015968"
"71384"|"2"|"Automatica"|"2026-07-11 09:09:16.924368-03:00"|"0:03:10.847657"|"1515805"
"71383"|"2"|"Automatica"|"2026-07-11 09:06:05.096754-03:00"|"0:03:11.827614"|"2942941"
"71382"|"2"|"Automatica"|"2026-07-11 09:02:42.295407-03:00"|"0:03:22.801347"|"1015684"
"71381"|"2"|"Automatica"|"2026-07-11 08:59:10.493150-03:00"|"0:03:31.802257"|"1515805"
"71380"|"2"|"Automatica"|"2026-07-11 08:55:55.549000-03:00"|"0:03:14.944150"|"1498010"
"71379"|"2"|"Automatica"|"2026-07-11 08:52:29.885113-03:00"|"0:03:25.663887"|"1015684"
"71378"|"2"|"Automatica"|"2026-07-11 08:49:18.168983-03:00"|"0:03:11.716130"|"1515805"
"71377"|"2"|"Automatica"|"2026-07-11 08:45:45.833953-03:00"|"0:03:32.335030"|"2942941"
"71376"|"2"|"Automatica"|"2026-07-11 08:42:32.771672-03:00"|"0:03:13.062281"|"1015684"
"71375"|"2"|"Automatica"|"2026-07-11 08:39:10.200761-03:00"|"0:03:22.570911"|"1515805"
"71374"|"2"|"Automatica"|"2026-07-11 08:34:53.220696-03:00"|"0:04:16.980065"|"313947"
"71373"|"2"|"Automatica"|"2026-07-11 08:30:20.913912-03:00"|"0:04:32.306784"|"196880"
"71372"|"2"|"Automatica"|"2026-07-11 08:25:33.674418-03:00"|"0:04:47.239494"|"185880"
"71371"|"2"|"Automatica"|"2026-07-11 08:20:28.033829-03:00"|"0:05:05.640589"|"181052"
"71370"|"2"|"Automatica"|"2026-07-11 08:17:03.879208-03:00"|"0:03:24.154621"|"608172"
"71369"|"2"|"Automatica"|"2026-07-11 08:13:35.565726-03:00"|"0:03:28.313482"|"1515805"
"71368"|"2"|"Automatica"|"2026-07-11 08:10:19.034271-03:00"|"0:03:16.531455"|"1015684"
"71367"|"2"|"Automatica"|"2026-07-11 08:06:55.694868-03:00"|"0:03:23.339403"|"1509847"
"71366"|"2"|"Automatica"|"2026-07-11 08:03:14.453999-03:00"|"0:03:41.240869"|"1515805"
"71365"|"2"|"Automatica"|"2026-07-11 07:59:46.517054-03:00"|"0:03:27.936945"|"1017673"
"71364"|"2"|"Automatica"|"2026-07-11 07:55:26.052111-03:00"|"0:04:20.464943"|"312785"
"71363"|"2"|"Automatica"|"2026-07-11 07:51:58.417196-03:00"|"0:03:27.634915"|"1016632"
"71362"|"2"|"Automatica"|"2026-07-11 07:47:58.922339-03:00"|"0:03:59.494857"|"1010866"
"71361"|"2"|"Automatica"|"2026-07-11 07:44:20.993027-03:00"|"0:03:37.929312"|"1515805"
"71360"|"2"|"Automatica"|"2026-07-11 07:40:22.940854-03:00"|"0:03:58.052173"|"1016722"
"71359"|"2"|"Automatica"|"2026-07-11 07:36:14.927900-03:00"|"0:04:08.012954"|"1012286"
"71358"|"2"|"Automatica"|"2026-07-11 07:32:26.968173-03:00"|"0:03:47.959727"|"1014641"
"71357"|"2"|"Automatica"|"2026-07-11 07:26:25.072617-03:00"|"0:06:01.895556"|"1011525"
"71356"|"2"|"Automatica"|"2026-07-11 07:20:07.321395-03:00"|"0:06:17.751222"|"177290"
"71355"|"2"|"Automatica"|"2026-07-11 07:14:13.461695-03:00"|"0:05:53.859700"|"186695"
"71354"|"2"|"Automatica"|"2026-07-11 07:08:20.609788-03:00"|"0:05:52.851907"|"238731"
"71353"|"2"|"Automatica"|"2026-07-11 07:02:56.801949-03:00"|"0:05:23.807839"|"219390"
"71352"|"2"|"Automatica"|"2026-07-11 06:58:00.142794-03:00"|"0:04:56.659155"|"269423"
"71351"|"2"|"Automatica"|"2026-07-11 06:53:19.902545-03:00"|"0:04:40.240249"|"308748"
"71350"|"2"|"Automatica"|"2026-07-11 06:47:42.434047-03:00"|"0:05:37.468498"|"185357"
"71349"|"2"|"Automatica"|"2026-07-11 06:41:58.398641-03:00"|"0:05:44.035406"|"208493"
"71348"|"2"|"Automatica"|"2026-07-11 06:32:21.026942-03:00"|"0:09:37.371699"|"197539"
"71347"|"2"|"Automatica"|"2026-07-11 06:27:31.359843-03:00"|"0:04:49.667099"|"356044"
"71346"|"2"|"Automatica"|"2026-07-11 06:24:19.383499-03:00"|"0:03:11.976344"|"1010962"
"71345"|"2"|"Automatica"|"2026-07-11 06:19:47.384374-03:00"|"0:04:31.999125"|"373134"
